,client0,client1,client2,client3,test
0,17B0031053,18B0006623F,16B0024174,18B0002932D,17B0031879
1,18B0006623C,16B0006694,16B0024177,16B0022616,16B0022781
2,16B0006695,17B0031103,18B0006623G,18B0005478I,18B0006623J
3,17B0031061,18B0006623D,16B0028817,17B0034179,16B0028138
4,16B0026796,18B0002452G,18B0004349A,17B0034674,18B0002930B
5,17B0031079,16B0028813,18B000646G,16B0001851,17B0019359
6,16B0027040,17B0035225,18B0003808K,17B0031124,17B0029534
7,18B0006169B,16B0028168,18B0002933H,16B0028148,17B0031911
8,18B0006174B,18B0006170D,17B0035220,17B0016589,16B0026794
9,18B0003894J,16B0026792,18B0003894H,16B0024175,16B0006668
10,17B0017454,17B0032153,17B0023487,17B0031904,16B0022615
11,16B0006669,16B0003394,17B0034675,17B0031893,17B0034247
12,16B0022612,18B0001966H,18B0006623I,18B0006622E,16B0028816
13,16B0024181,18B001071J,16B0028822,18B0005773,18B0002933I
14,16B0028815,18B0006623A,17B0031108,16B0022786,17B0011996
15,18B0005478B,18B0004346A,16B0023613,17B0028627,16B0027038
16,16B0022610,17B0023980,18B0001510G,17B0029587,16B0023614
17,18B0003032A,18B0006621D,17B0031109,17B0031877,18B0006177A
18,18B0006623B,17B0034449,17B0015554,18B0005478G,16B0028161
19,17B0016566,17B0017506,18B0005478D,17B00116581,18B0006173F
20,17B0015969,17B0015685,16B0022613,18B0001159D,18B0005478H
21,17B0017717,18B0005125B,18B0005478A,17B0031890,17B0031932
22,17B0027608,17B0016579,17B0015777,18B0003896D,18B0005478E
23,18B0001071H,18B0004358D,17B0022792,18B0006623H,17B0024636
24,17B0024162,18B0005124A,18B0001971B,18B0005478C,18B0005718B
25,17B0018428,16B0027039,17B0021010,16B0008045,17B00208864
26,16B0026795,16B0024173,17B0017511,18B0001506G,18B0002975B
27,17B0034184,18B0004349G,18B0005477G,18B0005230E,17B00208861
28,17B0016583,17B0027646,16B0028814,18B0005478J,16B0008067
29,18B0005478F,,,,18B0006179I
30,,,,,16B0028914
31,,,,,18B000646H
32,,,,,16B0022608
33,,,,,17B0023909
34,,,,,16B0003388
35,,,,,18B0005126C
36,,,,,18B0001510J
37,,,,,18B0003901F
38,,,,,
