,client0,client1,client2,client3,test
0,17B0031904,18B0004346A,17B0015777,16B0006668,18B0002932D
1,16B0006669,17B0017717,17B0016583,16B0022615,16B0022616
2,16B0022612,17B0027608,17B0022792,17B0034247,16B0024174
3,17B0032153,17B0023980,18B0005478C,16B0028816,16B0024177
4,18B0003894H,17B0028627,16B0027039,18B0002933I,18B0006623F
5,16B0024181,18B0006621D,16B0024173,17B0011996,16B0006694
6,16B0028815,18B0001071H,18B0001971B,16B0027038,18B0006623G
7,17B0031893,17B0034449,17B0021010,16B0023614,18B0005478I
8,17B0023487,17B0029587,17B0017511,18B0006177A,17B0031053
9,17B0034675,17B0031877,16B0008045,16B0028161,17B0031103
10,18B0005478B,18B0005478G,18B0001506G,18B0006173F,18B0006623C
11,18B0006622E,17B0024162,18B0005230E,18B0005478H,17B0034179
12,16B0022610,17B00116581,18B0004349G,17B0031932,18B0006623D
13,16B0003394,17B0017506,18B0005478J,18B0005478E,18B0002452G
14,18B0003032A,18B0001159D,17B0027646,17B0024636,16B0006695
15,18B0005773,17B0018428,18B0005478F,18B0005718B,17B0031061
16,18B0001966H,17B0031890,18B0005477G,17B00208864,16B0028817
17,18B0006623B,17B0015685,16B0028814,18B0002975B,17B0034674
18,18B0006623I,18B0003896D,16B0026792,17B00208861,18B0004349A
19,16B0022786,18B0005478D,17B0015554,16B0008067,18B000646G
20,17B0016566,18B0005125B,17B0031879,18B0006179I,18B0003808K
21,16B0028822,16B0026795,16B0022781,16B0028914,16B0026796
22,18B001071J,16B0022613,18B0006623J,18B000646H,16B0001851
23,17B0015969,17B0016579,16B0028138,16B0022608,17B0031079
24,17B0031108,18B0004358D,18B0002930B,17B0023909,18B0002933H
25,16B0023613,18B0005124A,17B0019359,16B0003388,17B0031124
26,18B0001510G,18B0006623H,17B0029534,18B0005126C,16B0028148
27,18B0006623A,18B0005478A,17B0031911,18B0001510J,16B0027040
28,17B0031109,17B0034184,16B0026794,18B0003901F,17B0016589
29,,,,,16B0028813
30,,,,,17B0035225
31,,,,,18B0006169B
32,,,,,18B0006174B
33,,,,,16B0024175
34,,,,,17B0035220
35,,,,,16B0028168
36,,,,,18B0003894J
37,,,,,18B0006170D
38,,,,,17B0017454
