,client0,client1,client2,client3,test
0,18B0002932D,16B0028813,16B0022786,16B0006668,18B0005478G
1,16B0022616,17B0035225,17B0016566,16B0022615,17B0024162
2,16B0024174,18B0006169B,16B0028822,17B0034247,17B00116581
3,16B0024177,18B0006174B,18B001071J,16B0028816,17B0017506
4,18B0006623F,16B0024175,17B0015969,18B0002933I,18B0001159D
5,16B0006694,17B0035220,17B0031108,17B0011996,17B0018428
6,18B0006623G,16B0028168,16B0023613,16B0027038,17B0031890
7,18B0005478I,18B0003894J,18B0001510G,16B0023614,17B0015685
8,17B0031053,18B0006170D,18B0006623A,18B0006177A,18B0003896D
9,17B0031103,17B0017454,17B0031109,16B0028161,18B0005478D
10,18B0006623C,17B0031904,18B0004346A,18B0006173F,18B0005125B
11,17B0034179,16B0006669,17B0017717,18B0005478H,16B0026795
12,18B0006623D,16B0022612,17B0027608,17B0031932,16B0022613
13,18B0002452G,17B0032153,17B0023980,18B0005478E,17B0016579
14,16B0006695,18B0003894H,17B0028627,17B0024636,18B0004358D
15,17B0031061,16B0024181,18B0006621D,18B0005718B,18B0005124A
16,16B0028817,16B0028815,18B0001071H,17B00208864,18B0006623H
17,17B0034674,17B0031893,17B0034449,18B0002975B,18B0005478A
18,18B0004349A,17B0023487,17B0029587,17B00208861,17B0034184
19,18B000646G,17B0034675,17B0031877,16B0008067,17B0015777
20,18B0003808K,18B0005478B,17B0031879,18B0006179I,17B0016583
21,16B0026796,18B0006622E,16B0022781,16B0028914,17B0022792
22,16B0001851,16B0022610,18B0006623J,18B000646H,18B0005478C
23,17B0031079,16B0003394,16B0028138,16B0022608,16B0027039
24,18B0002933H,18B0003032A,18B0002930B,17B0023909,16B0024173
25,17B0031124,18B0005773,17B0019359,16B0003388,18B0001971B
26,16B0028148,18B0001966H,17B0029534,18B0005126C,17B0021010
27,16B0027040,18B0006623B,17B0031911,18B0001510J,17B0017511
28,17B0016589,18B0006623I,16B0026794,18B0003901F,16B0008045
29,,,,,18B0001506G
30,,,,,18B0005230E
31,,,,,18B0004349G
32,,,,,18B0005478J
33,,,,,17B0027646
34,,,,,18B0005478F
35,,,,,18B0005477G
36,,,,,16B0028814
37,,,,,16B0026792
38,,,,,17B0015554
