test Loss: 0.4106, test auroc: 0.9190116678105696
test Loss: 0.5578, test auroc: 0.9147220315717227
test Loss: 0.5658, test auroc: 0.9138641043239533
test Loss: 0.5779, test auroc: 0.92124227865477
test Loss: 0.7365, test auroc: 0.9131777625257378
test Loss: 0.9494, test auroc: 0.9094028826355525
test Loss: 0.6100, test auroc: 0.9193548387096774
test Loss: 0.6905, test auroc: 0.9207275223061084
test Loss: 0.8620, test auroc: 0.921413864104324
test Loss: 1.0314, test auroc: 0.8973919011667809
test Loss: 0.8913, test auroc: 0.9250171585449554
test Loss: 0.7361, test auroc: 0.935483870967742
test Loss: 0.9446, test auroc: 0.9176389842141386
test Loss: 1.3891, test auroc: 0.8761153054221001
test Loss: 1.4659, test auroc: 0.876458476321208
test Loss: 3.4210, test auroc: 0.7004118050789293
test Loss: 1.5039, test auroc: 0.8670212765957448
test Loss: 1.4766, test auroc: 0.8840082361015786
test Loss: 1.8971, test auroc: 0.8539807824296499
test Loss: 0.8656, test auroc: 0.9159231297185999
test Loss: 1.1435, test auroc: 0.8992793411118737
test Loss: 1.0667, test auroc: 0.918668496911462
test Loss: 1.1521, test auroc: 0.9126630061770762
test Loss: 2.3248, test auroc: 0.8325326012354152
test Loss: 1.1417, test auroc: 0.9191832532601235
test Loss: 1.4945, test auroc: 0.8924159231297186
test Loss: 1.0837, test auroc: 0.9234728894989704
test Loss: 1.1536, test auroc: 0.9162663006177076
test Loss: 1.5839, test auroc: 0.881949210706932
test Loss: 1.7949, test auroc: 0.8356211393273851
test Loss: 1.3053, test auroc: 0.8846945778997941
test Loss: 1.7640, test auroc: 0.8629032258064516
test Loss: 1.4339, test auroc: 0.886238846945779
test Loss: 1.2451, test auroc: 0.9148936170212765
test Loss: 1.0389, test auroc: 0.9166094715168154
test Loss: 1.1094, test auroc: 0.9057995881949211
test Loss: 1.1876, test auroc: 0.9210706932052162
test Loss: 2.0217, test auroc: 0.827213452299245
test Loss: 1.2539, test auroc: 0.905971173644475
test Loss: 1.2307, test auroc: 0.8999656829100892
test Loss: 1.2227, test auroc: 0.9011667810569663
test Loss: 1.3126, test auroc: 0.8881262868908716
test Loss: 1.2375, test auroc: 0.9035689773507206
test Loss: 1.3020, test auroc: 0.8949897048730266
test Loss: 1.3547, test auroc: 0.883493479752917
test Loss: 1.3164, test auroc: 0.8927590940288262
test Loss: 1.0142, test auroc: 0.9217570350034318
test Loss: 1.1872, test auroc: 0.9178105696636926
