test Loss: 0.5364, test auroc: 0.8996225120109815
test Loss: 0.5519, test auroc: 0.9231297185998627
test Loss: 0.7071, test auroc: 0.9238160603980783
test Loss: 0.6470, test auroc: 0.9397735072065889
test Loss: 0.8697, test auroc: 0.9215854495538779
test Loss: 0.8618, test auroc: 0.927076183939602
test Loss: 0.7392, test auroc: 0.9356554564172959
test Loss: 1.0539, test auroc: 0.9118050789293068
test Loss: 0.9860, test auroc: 0.9265614275909403
test Loss: 0.5637, test auroc: 0.9408030199039121
test Loss: 0.7324, test auroc: 0.9274193548387097
test Loss: 1.0406, test auroc: 0.9092312971859987
test Loss: 0.9010, test auroc: 0.9210706932052162
test Loss: 0.6705, test auroc: 0.9371997254632808
test Loss: 0.9755, test auroc: 0.9202127659574468
test Loss: 0.9758, test auroc: 0.9251887439945093
test Loss: 0.5485, test auroc: 0.9473232669869596
test Loss: 0.7060, test auroc: 0.9373713109128345
test Loss: 1.1145, test auroc: 0.9183253260123542
test Loss: 1.3234, test auroc: 0.905971173644475
test Loss: 1.4814, test auroc: 0.8486616334934798
test Loss: 1.3307, test auroc: 0.891901166781057
test Loss: 1.3649, test auroc: 0.9049416609471518
test Loss: 1.8832, test auroc: 0.8512354152367879
test Loss: 1.5462, test auroc: 0.8840082361015785
test Loss: 1.2038, test auroc: 0.8888126286890872
test Loss: 1.0496, test auroc: 0.9057995881949211
test Loss: 1.2913, test auroc: 0.8984214138641043
test Loss: 1.5339, test auroc: 0.8915579958819493
test Loss: 1.7889, test auroc: 0.8601578586135896
test Loss: 1.9854, test auroc: 0.8577556623198352
test Loss: 1.7681, test auroc: 0.8689087165408373
test Loss: 1.5355, test auroc: 0.8749142072752231
test Loss: 1.8153, test auroc: 0.8586135895676047
test Loss: 1.6279, test auroc: 0.8716540837336993
test Loss: 1.7530, test auroc: 0.8620452985586822
test Loss: 1.0816, test auroc: 0.9109471516815375
test Loss: 1.3264, test auroc: 0.897391901166781
test Loss: 1.6655, test auroc: 0.8713109128345916
test Loss: 1.6817, test auroc: 0.8627316403568978
test Loss: 1.8310, test auroc: 0.8555250514756347
test Loss: 1.5578, test auroc: 0.8797185998627316
test Loss: 1.3952, test auroc: 0.8627316403568976
test Loss: 1.5789, test auroc: 0.8610157858613589
test Loss: 1.5266, test auroc: 0.8723404255319148
test Loss: 1.6110, test auroc: 0.8695950583390529
test Loss: 1.4627, test auroc: 0.8898421413864104
test Loss: 1.2323, test auroc: 0.905971173644475
