test Loss: 0.5059, test auroc: 0.9028673835125448
test Loss: 0.4818, test auroc: 0.9060931899641577
test Loss: 0.7771, test auroc: 0.9075268817204302
test Loss: 0.5840, test auroc: 0.9121863799283154
test Loss: 0.9068, test auroc: 0.8926523297491039
test Loss: 1.0407, test auroc: 0.8921146953405018
test Loss: 0.9462, test auroc: 0.9030465949820788
test Loss: 0.8787, test auroc: 0.9055555555555554
test Loss: 1.1057, test auroc: 0.9026881720430108
test Loss: 0.9379, test auroc: 0.8546594982078852
test Loss: 1.0368, test auroc: 0.8971326164874552
test Loss: 1.3641, test auroc: 0.9055555555555556
