test Loss: 0.5901, test auroc: 0.860394265232975
test Loss: 0.4527, test auroc: 0.8894265232974912
test Loss: 0.4540, test auroc: 0.88584229390681
test Loss: 0.4688, test auroc: 0.8777777777777778
test Loss: 0.4884, test auroc: 0.878673835125448
test Loss: 0.4700, test auroc: 0.8912186379928315
test Loss: 0.4221, test auroc: 0.9111111111111112
test Loss: 0.3704, test auroc: 0.9279569892473118
test Loss: 0.3447, test auroc: 0.935483870967742
test Loss: 0.3526, test auroc: 0.9358422939068101
test Loss: 0.3703, test auroc: 0.9370967741935483
test Loss: 0.3931, test auroc: 0.9365591397849462
test Loss: 0.4177, test auroc: 0.9363799283154122
test Loss: 0.4320, test auroc: 0.9362007168458781
test Loss: 0.4248, test auroc: 0.9406810035842293
test Loss: 0.4481, test auroc: 0.9403225806451614
test Loss: 0.5062, test auroc: 0.9381720430107527
test Loss: 0.5090, test auroc: 0.9417562724014337
test Loss: 0.6216, test auroc: 0.9329749103942652
test Loss: 0.5782, test auroc: 0.9338709677419355
test Loss: 0.5442, test auroc: 0.9413978494623656
test Loss: 0.7126, test auroc: 0.9243727598566308
test Loss: 0.6825, test auroc: 0.9344086021505377
test Loss: 0.5625, test auroc: 0.9446236559139785
test Loss: 0.6685, test auroc: 0.9381720430107527
test Loss: 0.5701, test auroc: 0.9455197132616487
test Loss: 0.7361, test auroc: 0.9315412186379928
test Loss: 0.8269, test auroc: 0.9154121863799284
test Loss: 0.7413, test auroc: 0.9275985663082438
test Loss: 0.7662, test auroc: 0.9279569892473118
test Loss: 0.8469, test auroc: 0.9197132616487455
test Loss: 0.7763, test auroc: 0.9340501792114695
test Loss: 0.6877, test auroc: 0.9444444444444444
test Loss: 0.7532, test auroc: 0.9417562724014338
test Loss: 0.7210, test auroc: 0.942652329749104
test Loss: 0.7132, test auroc: 0.9467741935483871
test Loss: 0.7264, test auroc: 0.9473118279569892
test Loss: 0.7528, test auroc: 0.9458781362007169
test Loss: 0.8469, test auroc: 0.9388888888888889
test Loss: 0.8366, test auroc: 0.9374551971326165
test Loss: 0.8283, test auroc: 0.9374551971326165
test Loss: 0.8253, test auroc: 0.9379928315412187
test Loss: 0.7964, test auroc: 0.9410394265232974
test Loss: 0.7909, test auroc: 0.9413978494623656
test Loss: 0.7648, test auroc: 0.9442652329749104
test Loss: 0.7565, test auroc: 0.9448028673835126
test Loss: 0.7355, test auroc: 0.9453405017921146
test Loss: 0.7409, test auroc: 0.946236559139785
