test Loss: 0.7114, test auroc: 0.7531249999999999
test Loss: 0.6401, test auroc: 0.7796875
test Loss: 0.5834, test auroc: 0.8206597222222222
test Loss: 0.5125, test auroc: 0.8583333333333334
test Loss: 0.4570, test auroc: 0.8902777777777777
test Loss: 0.4327, test auroc: 0.9090277777777778
test Loss: 0.4203, test auroc: 0.9185763888888889
test Loss: 0.4067, test auroc: 0.9213541666666667
test Loss: 0.4116, test auroc: 0.9182291666666667
test Loss: 0.4365, test auroc: 0.9138888888888889
test Loss: 0.4525, test auroc: 0.9163194444444445
test Loss: 0.4643, test auroc: 0.9175347222222222
test Loss: 0.4843, test auroc: 0.9190972222222222
test Loss: 0.5307, test auroc: 0.9177083333333332
test Loss: 0.5913, test auroc: 0.9156249999999999
test Loss: 0.6150, test auroc: 0.9175347222222222
test Loss: 0.6713, test auroc: 0.9121527777777778
test Loss: 0.6277, test auroc: 0.9170138888888889
test Loss: 0.6150, test auroc: 0.9251736111111112
test Loss: 0.6606, test auroc: 0.9189236111111112
test Loss: 0.7321, test auroc: 0.9190972222222222
test Loss: 0.7277, test auroc: 0.923611111111111
test Loss: 0.8475, test auroc: 0.9116319444444444
test Loss: 0.7714, test auroc: 0.9182291666666668
test Loss: 0.8493, test auroc: 0.9246527777777777
test Loss: 0.7914, test auroc: 0.9244791666666666
test Loss: 0.6956, test auroc: 0.9324652777777778
test Loss: 0.7535, test auroc: 0.9260416666666667
test Loss: 0.7930, test auroc: 0.928125
test Loss: 0.8247, test auroc: 0.9229166666666667
test Loss: 0.7836, test auroc: 0.9244791666666667
test Loss: 0.9053, test auroc: 0.9189236111111111
test Loss: 0.8651, test auroc: 0.9164930555555555
test Loss: 0.8766, test auroc: 0.9178819444444444
test Loss: 0.7682, test auroc: 0.9309027777777776
test Loss: 0.8618, test auroc: 0.9270833333333334
test Loss: 0.8632, test auroc: 0.9298611111111111
test Loss: 0.8401, test auroc: 0.9282986111111111
test Loss: 0.9532, test auroc: 0.9223958333333334
test Loss: 0.8283, test auroc: 0.9302083333333333
test Loss: 0.8177, test auroc: 0.9310763888888889
test Loss: 0.8703, test auroc: 0.927951388888889
test Loss: 0.9175, test auroc: 0.9262152777777778
test Loss: 0.9093, test auroc: 0.9296875
test Loss: 0.9514, test auroc: 0.9232638888888889
test Loss: 0.8846, test auroc: 0.9276041666666667
test Loss: 0.8840, test auroc: 0.9260416666666667
test Loss: 1.0325, test auroc: 0.9211805555555556
