test Loss: 0.4106, test auroc: 0.9190116678105696
test Loss: 0.5398, test auroc: 0.9064859299931366
test Loss: 0.7010, test auroc: 0.918496911461908
test Loss: 0.9068, test auroc: 0.8953328757721345
test Loss: 0.7026, test auroc: 0.9162663006177076
test Loss: 0.8558, test auroc: 0.9130061770761839
test Loss: 0.7831, test auroc: 0.9243308167467399
test Loss: 0.9562, test auroc: 0.9088881262868909
test Loss: 1.1942, test auroc: 0.8907000686341798
test Loss: 0.8057, test auroc: 0.9370281400137268
test Loss: 1.2433, test auroc: 0.9070006863417982
test Loss: 1.3181, test auroc: 0.915751544269046
test Loss: 1.1690, test auroc: 0.9210706932052163
test Loss: 1.5884, test auroc: 0.8826355525051476
test Loss: 1.3714, test auroc: 0.9047700754975978
test Loss: 1.3439, test auroc: 0.9169526424159231
test Loss: 1.2673, test auroc: 0.9042553191489362
test Loss: 1.7508, test auroc: 0.866678105696637
test Loss: 1.4564, test auroc: 0.9094028826355525
test Loss: 2.0149, test auroc: 0.8611873713109128
test Loss: 1.6811, test auroc: 0.8788606726149623
test Loss: 1.6889, test auroc: 0.8824639670555937
test Loss: 1.7951, test auroc: 0.8689087165408373
test Loss: 1.9317, test auroc: 0.8584420041180508
test Loss: 2.0167, test auroc: 0.8505490734385724
test Loss: 1.7775, test auroc: 0.8731983527796843
test Loss: 1.7083, test auroc: 0.8929306794783803
test Loss: 1.4251, test auroc: 0.8982498284145505
test Loss: 1.9224, test auroc: 0.879375428963624
test Loss: 1.3578, test auroc: 0.9190116678105696
test Loss: 2.0045, test auroc: 0.8572409059711736
test Loss: 1.6041, test auroc: 0.8867536032944406
test Loss: 1.9831, test auroc: 0.8529512697323267
test Loss: 2.3613, test auroc: 0.8565545641729582
test Loss: 1.5350, test auroc: 0.8977350720658889
test Loss: 2.0527, test auroc: 0.8507206588881262
test Loss: 1.7124, test auroc: 0.8874399450926562
test Loss: 1.6748, test auroc: 0.8814344543582704
test Loss: 1.9391, test auroc: 0.8622168840082362
test Loss: 1.6426, test auroc: 0.8881262868908718
test Loss: 1.9623, test auroc: 0.8665065202470831
test Loss: 1.8317, test auroc: 0.8704529855868223
test Loss: 1.4317, test auroc: 0.8980782429649966
test Loss: 1.5507, test auroc: 0.88761153054221
test Loss: 1.8366, test auroc: 0.8814344543582704
test Loss: 1.1307, test auroc: 0.9148936170212767
test Loss: 1.5197, test auroc: 0.9025394646533974
test Loss: 1.5487, test auroc: 0.8858956760466712
