test Loss: 0.4307, test auroc: 0.8939068100358424
test Loss: 0.6374, test auroc: 0.8775985663082437
test Loss: 0.6992, test auroc: 0.8939068100358424
test Loss: 0.9440, test auroc: 0.885663082437276
test Loss: 0.7932, test auroc: 0.8978494623655914
test Loss: 0.9158, test auroc: 0.9150537634408602
test Loss: 1.0711, test auroc: 0.9094982078853047
test Loss: 1.2006, test auroc: 0.9068100358422939
test Loss: 1.2867, test auroc: 0.8940860215053764
test Loss: 1.3768, test auroc: 0.9062724014336917
test Loss: 1.3078, test auroc: 0.9141577060931899
test Loss: 1.4508, test auroc: 0.9046594982078854
test Loss: 1.2561, test auroc: 0.917921146953405
test Loss: 1.4051, test auroc: 0.9055555555555556
test Loss: 1.6411, test auroc: 0.9082437275985664
test Loss: 1.8018, test auroc: 0.8885304659498208
test Loss: 1.2801, test auroc: 0.9193548387096775
test Loss: 1.6201, test auroc: 0.8924731182795699
test Loss: 1.8832, test auroc: 0.8924731182795699
test Loss: 1.3937, test auroc: 0.9068100358422939
test Loss: 1.6707, test auroc: 0.8872759856630825
test Loss: 1.7520, test auroc: 0.8944444444444445
test Loss: 1.4968, test auroc: 0.9068100358422939
test Loss: 1.4948, test auroc: 0.9102150537634408
test Loss: 1.7003, test auroc: 0.899641577060932
test Loss: 1.5728, test auroc: 0.9191756272401433
test Loss: 1.6736, test auroc: 0.8969534050179211
test Loss: 1.4108, test auroc: 0.921146953405018
test Loss: 1.8998, test auroc: 0.8838709677419355
test Loss: 1.6870, test auroc: 0.9109318996415772
test Loss: 1.6483, test auroc: 0.9107526881720429
test Loss: 1.4521, test auroc: 0.910752688172043
test Loss: 2.0514, test auroc: 0.8697132616487455
test Loss: 1.6715, test auroc: 0.9005376344086021
test Loss: 1.5926, test auroc: 0.8931899641577061
test Loss: 1.7193, test auroc: 0.8935483870967742
test Loss: 1.5180, test auroc: 0.9089605734767026
test Loss: 1.5860, test auroc: 0.9078853046594982
test Loss: 1.4435, test auroc: 0.9123655913978495
test Loss: 1.7383, test auroc: 0.8872759856630825
test Loss: 1.7202, test auroc: 0.9039426523297491
test Loss: 1.7972, test auroc: 0.8851254480286739
test Loss: 1.4832, test auroc: 0.9012544802867383
test Loss: 1.8502, test auroc: 0.8777777777777778
test Loss: 1.7455, test auroc: 0.8851254480286738
test Loss: 1.7771, test auroc: 0.8899641577060932
test Loss: 2.0141, test auroc: 0.8689964157706093
test Loss: 1.6527, test auroc: 0.8991039426523298
